"iata","name","latitude","longitude","totalflights","numberofdelays","delaypercentage","carrierdelay","weatherdelay","nasdelay","securitydelay","lateaircraftdelay"
"93F","Mignon Laird Municipal","35.60393694","-99.70343889","","","","","","","",""
"KCC","Coffman Cove SPB","56.00324444","-132.8419689","","","","","","","",""
"MKV","Marksville Municipal","31.09466","-92.06906861","","","","","","","",""
"BDE","Baudette International","48.72741667","-94.61030556","","","","","","","",""
"RPB","Belleville Municipal","39.81790861","-97.659625","","","","","","","",""
"Q84","Mendota","36.75800528","-120.3712794","","","","","","","",""
"1B3","Fair Haven","43.61534389","-73.27455556","","","","","","","",""
"HQM","Bowerman","46.97120167","-123.9365581","","","","","","","",""
"1B9","Mansfield Municipal","42.00013306","-71.19677139","","","","","","","",""
"HQG","Hugoton Municipal","37.16308056","-101.3705267","","","","","","","",""
"6S8","Laurel Municipal","45.70308833","-108.7610886","","","","","","","",""
"P01","Ajo Municipal","32.45005694","-112.8673778","","","","","","","",""
"36U","Heber City Municipal/Russ McDonald ","40.48180556","-111.4288056","","","","","","","",""
"SBD","San Bernardino International","34.09535361","-117.2348742","","","","","","","",""
"HSA","Stennis International","30.36780778","-89.45461083","","","","","","","",""
"1S3","Tillitt ","46.27110639","-106.6239206","","","","","","","",""
"FRG","Republic","40.72878111","-73.41340722","","","","","","","",""
"SFB","Orlando Sanford","28.77764","-81.23748944","","","","","","","",""
"BCK","Black River Falls Area","44.25073861","-90.85528028","","","","","","","",""
"ELK","Elk City Municipal","35.42941083","-99.39425917","","","","","","","",""
"H30","Hamilton Municipal ","42.84381889","-75.56140194","","","","","","","",""
"I67","Cincinnati West","39.25894444","-84.77430556","","","","","","","",""
"T36","Paul Pittman Memorial","31.14601111","-90.168145","","","","","","","",""
"BCV","Birchwood","61.41612444","-149.50888","","","","","","","",""
"KPH","Pauloff Harbor SPB","54.45912028","-162.6936406","","","","","","","",""
"07K","Central City Municipal","41.11668056","-98.05033639","","","","","","","",""
"9A8","Ugashik","57.5278675","-157.3993056","","","","","","","",""
"1N2","Spadaro ","40.82787639","-72.74871083","","","","","","","",""
"3R0","Beeville Municipal","28.36455528","-97.79208194","","","","","","","",""
"5G9","Toledo Suburban","41.7358775","-83.65541056","","","","","","","",""
"RYY","Cobb County-McCollum ","34.01315611","-84.59854472","","","","","","","",""
"CXF","Coldfoot","67.25163417","-150.2065672","","","","","","","",""
"Q25","Dinsmore","40.49291944","-123.5997589","","","","","","","",""
"HRO","Boone County","36.26152056","-93.15472889","","","","","","","",""
"CYO","Pickaway County Memorial","39.51600611","-82.98215361","","","","","","","",""
"WMO","White Mountain","64.68919444","-163.4125556","","","","","","","",""
"FAM","Farmington Regional","37.76107917","-90.42859722","","","","","","","",""
"FHU","Libby AAF-Sierra Vista Municipal","31.58847222","-110.3443889","","","","","","","",""
"OMH","Orange County","38.24721639","-78.04561028","","","","","","","",""
"4J2","Berrien County","31.21255556","-83.22627778","","","","","","","",""
"F31","Lake Texoma State Park","33.99287639","-96.64249722","","","","","","","",""
"N37","Monticello","41.62249167","-74.70141111","","","","","","","",""
"BFR","Virgil I Grissom Municipal","38.84003306","-86.44536361","","","","","","","",""
"O35","Hollis Municipal","34.70839417","-99.90871194","","","","","","","",""
"LQK","Pickens County","34.80997222","-82.70288889","","","","","","","",""
"2O8","Hinton Municipal","35.50592472","-98.34236111","","","","","","","",""
"RDR","Grand Forks AFB","47.961167","-97.401167","","","","","","","",""
"LHZ","Franklin County","36.02334528","-78.33027139","","","","","","","",""
"M32","Lake Village Municipal","33.3459775","-91.31569833","","","","","","","",""
"UUU","Newport State","41.53243972","-71.28154389","","","","","","","",""
"RSH","Russian Mission","61.77967583","-161.3194772","","","","","","","",""
"S32","Cooperstown Municipal","47.42277361","-98.10587139","","","","","","","",""
"CAD","Wexford County","44.27531333","-85.41892694","","","","","","","",""
"RRT","Warroad Intl Swede Carlson ","48.94138889","-95.34838889","","","","","","","",""
"BKW","Raleigh Cty Memorial","37.78732833","-81.12416417","","","","","","","",""
"KGX","Grayling","62.89456056","-160.0649042","","","","","","","",""
"DNS","Denison Municipal","41.9864325","-95.38072083","","","","","","","",""
"AFN","Jaffrey Municipal Silver Ranch","42.80513417","-72.00302194","","","","","","","",""
"T28","Lampasas Municipal","31.10672694","-98.19600194","","","","","","","",""
"D25","Manitowish Waters","46.12197222","-89.88233333","","","","","","","",""
"CLW","Clearwater Air Park","27.97668639","-82.75874028","","","","","","","",""
"7D2","Troy-Oakland","42.54294389","-83.17790861","","","","","","","",""
"SXL","Summersville","38.23163889","-80.87080556","","","","","","","",""
"PLR","St Clair County","33.55883333","-86.24905556","","","","","","","",""
"TAL","Ralph M Calhoun Memorial","65.17439528","-152.1093886","","","","","","","",""
"22I","Vinton County","39.328125","-82.44182167","","","","","","","",""
"20A","Robbins ","33.97231972","-86.37942722","","","","","","","",""
"OFK","Karl Stefan Memorial","41.98546389","-97.43511111","","","","","","","",""
"AL08","Vaiden ","32.51235611","-87.38555472","","","","","","","",""
"BJJ","Wayne County","40.87480556","-81.88825","","","","","","","",""
"U34","Green River Muni","38.96136167","-110.2273619","","","","","","","",""
"O61","Cameron Airpark","38.68407028","-120.9871642","","","","","","","",""
"MVY","Marthas Vineyard","41.39302583","-70.6143325","","","","","","","",""
"ART","Watertown Intl","43.99192222","-76.02173861","","","","","","","",""
"CLM","William R Fairchild Intl","48.12019444","-123.4996944","","","","","","","",""
"X95","Diego Jimenez Torres","18.30800972","-65.66182806","","","","","","","",""
"ILE","Killeen Municipal","31.08583333","-97.6865","","","","","","","",""
"5B7","Rensselaer Air Park","42.69091194","-73.57956","","","","","","","",""
"SPA","Spartanburg Downtown Memorial","34.91572222","-81.9565","","","","","","","",""
"EED","Needles","34.76619444","-114.6232931","","","","","","","",""
"4U6","Circle Town County","47.41861972","-105.5619431","","","","","","","",""
"HEQ","Holyoke","40.56943056","-102.2726875","","","","","","","",""
"BWG","Bowling Green-Warren County ","36.96451667","-86.41967917","","","","","","","",""
"RIF","Richfield Muni","38.73643611","-112.0989444","","","","","","","",""
"GRD","Greenwood County","34.24872222","-82.15908333","","","","","","","",""
"AID","Anderson Municipal","40.10862139","-85.61299472","","","","","","","",""
"H79","Eldon Model Airpark","38.36062611","-92.57157139","","","","","","","",""
"9M6","Kelly","32.84921361","-91.40390611","","","","","","","",""
"GMU","Greenville Downtown","34.84794444","-82.35","","","","","","","",""
"SEZ","Sedona","34.84862889","-111.7884614","","","","","","","",""
"JKA","Jack Edwards","30.28951667","-87.67371472","","","","","","","",""
"Y14","Marv Skie-Lincoln County","43.45747694","-96.80199528","","","","","","","",""
"M76","Picayune Municipal","30.48748472","-89.65119306","","","","","","","",""
"AUM","Austin Municipal","43.66499083","-92.933385","","","","","","","",""
"7B2","La Fleur","42.32816806","-72.61151667","","","","","","","",""
"AIK","Aiken Municipal","33.64955556","-81.68447222","","","","","","","",""
"Q17","Boonville","39.0126775","-123.3827864","","","","","","","",""
"K96","Tuscola","39.78086528","-88.30616","","","","","","","",""
"53A","Dr. C.P. Savage, Sr.","32.302","-84.00747222","","","","","","","",""
"4J6","St Marys","30.75468028","-81.55731917","","","","","","","",""
"DUX","Moore County","35.85792833","-102.0130978","","","","","","","",""
"RNC","Warren County Memorial","35.69870944","-85.84381722","","","","","","","",""
"SHG","Shungnak","66.88916556","-157.1505119","","","","","","","",""
"3FU","Faulkton Municipal","45.03191861","-99.11566417","","","","","","","",""
"1I5","Freehold","42.36425","-74.06596806","","","","","","","",""
"IGG","Igiugig","59.32373528","-155.9032733","","","","","","","",""
"8Y2","Buffalo Municipal","45.15904694","-93.84330361","","","","","","","",""
"80F","Antlers Municipal","34.19260083","-95.64985889","","","","","","","",""
"O31","Healdsburg Municipal","38.65352083","-122.8994397","","","","","","","",""
"S50","Auburn Municipal","47.32815583","-122.2265092","","","","","","","",""
"SPN","Tinian International Airport","14.996111","145.621384","","","","","","","",""
"I86","Perry County","39.69159667","-82.19778583","","","","","","","",""
"ERV","Kerrville Muni/Louis Schreiner ","29.976735","-99.08567972","","","","","","","",""
"MWO","Hook Field Municipal","39.53102778","-84.39527778","","","","","","","",""
"OSU","Ohio State University","40.07977778","-83.07302778","","","","","","","",""
"77S","Hobby ","43.93206889","-123.0067483","","","","","","","",""
"UKT","Quakertown","40.43521194","-75.38192861","","","","","","","",""
"MNV","Monroe County","35.54537222","-84.380235","","","","","","","",""
"X60","Williston Municipal","29.35422","-82.47288194","","","","","","","",""
"4Z7","Hyder SPB","55.90331972","-130.0067031","","","","","","","",""
"HXF","Hartford Municipal","43.34927806","-88.39112528","","","","","","","",""
"F53","Franklin County","33.21530583","-95.2374925","","","","","","","",""
"63S","Colville Municipal","48.54156944","-117.8844247","","","","","","","",""
"S85","Big Sky ","48.15333333","-104.5038889","","","","","","","",""
"BUM","Butler Memorial","38.28977028","-94.34012694","","","","","","","",""
"SME","Somerset-Pulaski County","37.05419722","-84.61494139","","","","","","","",""
"BBB","Benson Municipal","45.3319325","-95.650565","","","","","","","",""
"SNY","Sidney Municipal","41.10133333","-102.9852778","","","","","","","",""
"MDF","Mooreland Municipal","36.48475778","-99.19415778","","","","","","","",""
"0M8","Byerley","32.82587917","-91.187665","","","","","","","",""
"CHT","Chillicothe Municipal","39.78215278","-93.49568056","","","","","","","",""
"3AU","Augusta Municipal","37.67162778","-97.07787222","","","","","","","",""
"T69","Sinton-San Patricio County","28.03925","-97.54244444","","","","","","","",""
"KFP","False Pass","54.84744583","-163.4103222","","","","","","","",""
"C18","Frankfort","41.4775","-87.84047222","","","","","","","",""
"49A","Gilmer County","34.62786417","-84.52492889","","","","","","","",""
"MRH","Michael J. Smith","34.73355028","-76.66059611","","","","","","","",""
"HHG","Huntington Municipal","40.85299","-85.45941917","","","","","","","",""
"Y19","Mandan Municipal","46.76823667","-100.8943433","","","","","","","",""
"L35","Big Bear City","34.26361944","-116.854475","","","","","","","",""
"19P","Port Protection SPB","56.32880417","-133.6100844","","","","","","","",""
"EAN","Phifer Airfield","42.05552528","-104.9327492","","","","","","","",""
"RSV","Robinson Municipal","39.01604222","-87.649775","","","","","","","",""
"4B8","Robertson ","41.69037667","-72.8648225","","","","","","","",""
"N14","Flying W","39.93427778","-74.80725","","","","","","","",""
"SPX","Houston-Gulf","29.50836111","-95.05133333","","","","","","","",""
"DPA","Du Page","41.90688333","-88.24841722","","","","","","","",""
"4PH","Polacca","35.79167222","-110.4234653","","","","","","","",""
"Y93","Atlanta Municipal","45.00000833","-84.13333667","","","","","","","",""
"U03","Buhl Municipal","42.59157139","-114.7967178","","","","","","","",""
"DEW","Deer Park","47.96663889","-117.4266667","","","","","","","",""
"4S2","Hood River","45.67261833","-121.5364625","","","","","","","",""
"HWD","Hayward Executive","37.65926528","-122.1224083","","","","","","","",""
"DRT","Del Rio International","29.37181222","-100.9232339","","","","","","","",""
"IKV","Ankeny Regional","41.69128556","-93.56630333","","","","","","","",""
"7K8","Martin ","42.45416111","-96.47253111","","","","","","","",""
"12C","Rochelle Municipal","41.89300139","-89.07829","","","","","","","",""
"FDY","Findlay","41.01352778","-83.66869444","","","","","","","",""
"E19","Gruver Municipal","36.23372611","-101.4321894","","","","","","","",""
"22B","Mountain Meadow Airstrip","41.77287528","-73.01121667","","","","","","","",""
"RMG","Richard B Russell","34.35060111","-85.15801389","","","","","","","",""
"M83","McCharen ","33.58403556","-88.66668694","","","","","","","",""
"2O1","Gansner ","39.94378056","-120.9468983","","","","","","","",""
"PWG","McGregor Exectuive ","31.48491667","-97.31652778","","","","","","","",""
"HVC","Hopkinsville-Christian County","36.85658333","-87.45725","","","","","","","",""
"GPZ","Grand Rapids-Itasca County","47.21110333","-93.50984472","","","","","","","",""
"TPF","Peter O. Knight","27.91557833","-82.44926083","","","","","","","",""
"I05","Sturgis Municipal","37.54083333","-87.95183333","","","","","","","",""
"APT","Marion County-Brown ","35.06067778","-85.58531667","","","","","","","",""
"LPC","Lompoc","34.66561028","-120.4667883","","","","","","","",""
"AIO","Atlantic Municipal","41.40726722","-95.04690639","","","","","","","",""
"ARA","Acadiana Regional","30.03775833","-91.88389611","","","","","","","",""
"7M3","Bearce","34.52926056","-93.52713472","","","","","","","",""
"4I9","Morrow County","40.52452778","-82.85005556","","","","","","","",""
"RME","Griffis Airpark","43.23379861","-75.40703333","","","","","","","",""
"ROP","Prachinburi","14.078333","101.378334","","","","","","","",""
"HWO","North Perry","26.00142417","-80.24052056","","","","","","","",""
"AVQ","Marana Northwest Regional","32.40939028","-111.2185086","","","","","","","",""
"CTK","Ingersoll","40.56909444","-90.07484","","","","","","","",""
"9S2","Scobey","48.80772722","-105.43947","","","","","","","",""
"H19","Bowling Green Municipal","39.36993361","-91.21925556","","","","","","","",""
"CMY","Sparta/Fort McCoy","43.95834806","-90.7378975","","","","","","","",""
"2M4","G. V. Montgomery","32.35347778","-89.48867944","","","","","","","",""
"34A","Laurens County","34.50705556","-81.94719444","","","","","","","",""
"ANV","Anvik","62.64858333","-160.1898889","","","","","","","",""
"FFC","Peachtree City - Falcon ","33.35725","-84.57183333","","","","","","","",""
"Y37","Park River Municipal","48.39443778","-97.78147889","","","","","","","",""
"CJX","Crooked Creek","61.86902194","-158.1371178","","","","","","","",""
"1S5","Sunnyside Municipal","46.32763139","-119.9705964","","","","","","","",""
"7V7","Red Cloud Municipal","40.08473556","-98.54061694","","","","","","","",""
"RXE","Rexburg-Madison County","43.83391139","-111.805105","","","","","","","",""
"N40","Sky Manor ","40.56626889","-74.97864139","","","","","","","",""
"AKP","Anaktuvuk Pass","68.1343225","-151.74168","","","","","","","",""
"UNI","Ohio University","39.21096222","-82.23142583","","","","","","","",""
"EGQ","Emmetsburg Municipal","43.10202056","-94.704675","","","","","","","",""
"ENA","Kenai Municipal","60.572","-151.2475278","","","","","","","",""
"TYL","Taylor","34.45283333","-110.1148056","","","","","","","",""
"5A4","Okolona Mun.-Richard M. Stovall ","34.01580528","-88.72618944","","","","","","","",""
"CBE","Cumberland Regional","39.61541667","-78.76086361","","","","","","","",""
"CUH","Cushing Municipal","35.949925","-96.77305278","","","","","","","",""
"K01","Farington ","40.38750167","-95.78916167","","","","","","","",""
"GSH","Goshen Municipal","41.52716028","-85.79210278","","","","","","","",""
"F36","Cordell Municipal","35.30421917","-98.96702167","","","","","","","",""
"ARC","Arctic Village","68.11608083","-145.5761114","","","","","","","",""
"IFA","Iowa Falls Municipal","42.47078639","-93.26995361","","","","","","","",""
"RWN","Arens ","41.09226306","-86.61287111","","","","","","","",""
"IYS","Wasilla","61.57196083","-149.5405556","","","","","","","",""
"CNM","Cavern City Air Terminal","32.33747222","-104.2632778","","","","","","","",""
"HSL","Huslia","65.70055556","-156.3875","","","","","","","",""
"PPO","La Porte Municipal","41.57276194","-86.73413139","","","","","","","",""
"OCH","Nacogdoches-A.L. Mangham Jr. Regional","31.57802778","-94.70954167","","","","","","","",""
"THV","York","39.916995","-76.87302611","","","","","","","",""
"MAL","Malone-Dufort","44.85365722","-74.32894972","","","","","","","",""
"04M","Calhoun County","33.93011222","-89.34285194","","","","","","","",""
"N47","Pottstown Muni","40.26040083","-75.67085306","","","","","","","",""
"MYL","McCall","44.88879556","-116.1017497","","","","","","","",""
"3R4","Hart","31.54489667","-93.48645306","","","","","","","",""
"TTA","Sanford-Lee County Regional","35.58247222","-79.10136111","","","","","","","",""
"SQI","Whiteside Co ","41.74284139","-89.67629028","","","","","","","",""
"MSL","Northwest Alabama Regional ","34.74532028","-87.61023222","","","","","","","",""
"74S","Anacortes","48.4989925","-122.6623956","","","","","","","",""
"N67","Wings ","40.13647333","-75.26702972","","","","","","","",""
"SBM","Sheboygan County Memorial","43.76949444","-87.85158944","","","","","","","",""
"GGW","Wokal Field/Glasgow Intl","48.21246417","-106.6148231","","","","","","","",""
"CXL","Calexico International","32.66950333","-115.5133281","","","","","","","",""
"DMN","Deming Municipal","32.26230917","-107.7206397","","","","","","","",""
"3GM","Grand Haven Memorial Airpark","43.03404639","-86.1981625","","","","","","","",""
"T56","Crockett-Houston County","31.30696111","-95.40383056","","","","","","","",""
"CQB","Chandler Municipal","35.72381556","-96.82027306","","","","","","","",""
"9A1","Covington Municipal","33.6324825","-83.84955806","","","","","","","",""
"1L0","St. John the Baptist Parish","30.08720833","-90.58266528","","","","","","","",""
"I63","Mt. Sterling Municipal","39.9875","-90.80416667","","","","","","","",""
"JYG","St James Municipal","43.98631833","-94.55793722","","","","","","","",""
"AIZ","Lee C Fine Memorial","38.096035","-92.5494875","","","","","","","",""
"8A0","Albertville Municipal ","34.22910972","-86.25575806","","","","","","","",""
"DCU","Pryor  Regional","34.65264667","-86.94536778","","","","","","","",""
"3BS","Jack Barstow","43.66291528","-84.261325","","","","","","","",""
"EFD","Ellington ","29.60733333","-95.15875","","","","","","","",""
"0L5","Goldfield","37.71798833","-117.2384119","","","","","","","",""
"S07","Bend Muni","44.09483333","-121.2006389","","","","","","","",""
"AQY","Girdwood","60.96609583","-149.1257892","","","","","","","",""
"S25","Watford City Municipal","47.79569972","-103.2536992","","","","","","","",""
"N85","Alexandria ","40.58757389","-75.01942056","","","","","","","",""
"5J0","John Day State","44.40416667","-118.9625","","","","","","","",""
"SVE","Susanville Municipal","40.37684111","-120.5730033","","","","","","","",""
"8U6","Terry","46.77917333","-105.3047083","","","","","","","",""
"6V6","Hopkins ","38.23879833","-108.5632597","","","","","","","",""
"SUE","Door County Cherryland","44.84366222","-87.42154111","","","","","","","",""
"O85","Benton ","40.57487278","-122.4080642","","","","","","","",""
"0F4","Loup City Municipal","41.29028694","-98.99064278","","","","","","","",""
"SUT","Brunswick County","33.92925694","-78.07499167","","","","","","","",""
"Q37","Carrizozo Municipal","33.64886139","-105.895685","","","","","","","",""
"PIZ","Point Lay Dew Station","69.732875","-163.0053417","","","","","","","",""
"LHQ","Fairfield County","39.75564722","-82.65711","","","","","","","",""
"SET","St Charles County Smart ","38.92969444","-90.42996111","","","","","","","",""
"AJC","Chignik (Anchorage Bay)","56.3114625","-158.3732369","","","","","","","",""
"7S1","Twin Bridges","45.53325917","-112.3091656","","","","","","","",""
"SPB","Scappoose Industrial Airpark","45.77250444","-122.8623611","","","","","","","",""
"C05","Chenega Bay","60.07730556","-147.9918889","","","","","","","",""
"2M3","Sallisaw Municipal","35.43816667","-94.80277778","","","","","","","",""
"UOX","University-Oxford","34.38431528","-89.53530972","","","","","","","",""
"HUL","Houlton International","46.12308333","-67.79205556","","","","","","","",""
"AFW","Fort Worth Alliance","32.98763889","-97.31880556","","","","","","","",""
"LWD","Lamoni Municipal","40.63333306","-93.90217028","","","","","","","",""
"MLF","Milford Municipal","38.4266325","-113.0124564","","","","","","","",""
"49X","Chemehuevi Valley","34.52751083","-114.4310697","","","","","","","",""
"Y66","Drummond Island","46.00931139","-83.74393417","","","","","","","",""
"OPN","Thomaston-Upton County","32.95458861","-84.26315222","","","","","","","",""
"DNL","Daniel ","33.46663667","-82.03933917","","","","","","","",""
"SKA","Fairchild AFB","47.615058","-117.655803","","","","","","","",""
"UKI","Ukiah Municipal","39.12595722","-123.200855","","","","","","","",""
"OXV","Knoxville Municipal","41.29888556","-93.11381556","","","","","","","",""
"K22","Big Sandy Regional","37.75102778","-82.63669444","","","","","","","",""
"20U","Beach","46.92362444","-103.9785389","","","","","","","",""
"N23","Sidney Muni","42.30258","-75.41595639","","","","","","","",""
"L15","Henderson","35.97636444","-115.1327708","","","","","","","",""
"MKK","Molokai","21.15288583","-157.0962561","","","","","","","",""
"Z09","Kasigluk","60.87202194","-162.5248094","","","","","","","",""
"5R4","Foley Municipal","30.42769722","-87.70082","","","","","","","",""
"CPC","Columbus County Municipal","34.27287278","-78.71499278","","","","","","","",""
"Q61","Georgetown","38.92111389","-120.8647944","","","","","","","",""
"OKM","Okmulgee Municipal","35.66813889","-95.94869444","","","","","","","",""
"K06","Greater Beardstown","39.97338139","-90.40373556","","","","","","","",""
"KLS","Kelso-Longview","46.118","-122.8983889","","","","","","","",""
"GEZ","Shelbyville Municipal","39.58316583","-85.80481","","","","","","","",""
"BWP","Harry Stern","46.24640083","-96.6056825","","","","","","","",""
"S67","Nampa Muni","43.58133333","-116.5230556","","","","","","","",""
"LBF","North Platte Regional ","41.12621194","-100.6836542","","","","","","","",""
"K81","Miami County","38.53751389","-94.92524194","","","","","","","",""
"1K9","Satanta Municipal","37.45419111","-100.9921119","","","","","","","",""
"MWA","Williamson County","37.75313528","-89.01159694","","","","","","","",""
"5G8","Pittsburgh Boquet Airpark","40.37645722","-79.60837583","","","","","","","",""
"THA","Tullahoma Regional","35.38015694","-86.24602333","","","","","","","",""
"IFP","Laughlin/Bullhead International","35.15738889","-114.5595278","","","","","","","",""
"9V6","Martin Municipal","43.16564083","-101.7126953","","","","","","","",""
"H35","Clarksville Municipal","35.47069417","-93.427155","","","","","","","",""
"BVO","Bartlesville Municipal","36.76247611","-96.01115167","","","","","","","",""
"PVU","Provo Muni","40.21919444","-111.7233611","","","","","","","",""
"RNM","Ramona","33.038905","-116.9136392","","","","","","","",""
"KQA","Akutan SPB","54.13246694","-165.7853111","","","","","","","",""
"4I3","Knox County","40.32872222","-82.52377778","","","","","","","",""
"F12","Rusk County","32.14172222","-94.85172222","","","","","","","",""
"0R0","Columbia-Marion County","31.29700806","-89.81282944","","","","","","","",""
"DFI","Defiance Memorial","41.3375","-84.42880556","","","","","","","",""
"GYH","Donaldson Center","34.75831917","-82.376415","","","","","","","",""
"OVS","Boscobel","43.16063056","-90.67421833","","","","","","","",""
"88J","Allendale County","32.99512944","-81.27024583","","","","","","","",""
"BCE","Bryce Canyon","37.70637111","-112.1454725","","","","","","","",""
"7F6","Clarksville-Red River County","33.59316472","-95.06355528","","","","","","","",""
"VRB","Vero Beach Municipal","27.65555556","-80.41794444","","","","","","","",""
"73J","Beaufort County","32.4121375","-80.63455083","","","","","","","",""
"ONL","O Neill Municipal","42.46988889","-98.68805556","","","","","","","",""
"ANE","Anoka County","45.145","-93.21138889","","","","","","","",""
"BXG","Burke County","33.04093056","-82.00397917","","","","","","","",""
"JZI","Charleston Executive","32.70086111","-80.00291667","","","","","","","",""
"3K3","Syracuse-Hamilton County Municipal","37.99167972","-101.7462822","","","","","","","",""
"ODO","Odessa-Schlemeyer ","31.92056722","-102.3870892","","","","","","","",""
"IJX","Jacksonville Municipal","39.77429694","-90.23856583","","","","","","","",""
"7A8","Avery County/Morrison ","35.94457028","-81.99566944","","","","","","","",""
"6D8","Barnes County Municipal","46.94100778","-98.01762611","","","","","","","",""
"WBQ","Beaver","66.36155056","-147.4012186","","","","","","","",""
"CXY","Capital City","40.21713889","-76.85147222","","","","","","","",""
"CSB","Cambridge Municipal","40.30658333","-100.1620833","","","","","","","",""
"E80","Alexander Municipal","34.64519778","-106.8336958","","","","","","","",""
"ORG","Orange County","30.06916667","-93.80091667","","","","","","","",""
"N68","Chambersburg Muni","39.97295167","-77.64326778","","","","","","","",""
"HTW","Lawrence County Airpark,Inc","38.41924861","-82.4943225","","","","","","","",""
"SD18","Flandreau Municipal","44.00386056","-96.59310139","","","","","","","",""
"E60","Eloy Municipal","32.80700583","-111.58679","","","","","","","",""
"LAR","Laramie Regional","41.31205","-105.6749864","","","","","","","",""
"I75","Osceola Municipal","41.05221889","-93.68966222","","","","","","","",""
"6B0","Middlebury State","43.98478278","-73.09594889","","","","","","","",""
"XVG","Longville Municipal","46.99016361","-94.20400222","","","","","","","",""
"SHL","Sheldon Municipal","43.20839361","-95.83343306","","","","","","","",""
"OZW","Livingston County","42.62950694","-83.98417361","","","","","","","",""
"C83","Byron","37.8284525","-121.6258219","","","","","","","",""
"6A1","Butler Municipal","32.56736694","-84.25074833","","","","","","","",""
"LGU","Logan-Cache","41.78773083","-111.8526822","","","","","","","",""
"9S5","Three Forks","45.87852778","-111.5691389","","","","","","","",""
"SLR","Sulphur Springs Municipal","33.15983333","-95.62113889","","","","","","","",""
"3J7","Greene County Airpark","33.59766667","-83.139","","","","","","","",""
"U42","Salt Lake City Municipal 2","40.61954","-111.9928858","","","","","","","",""
"S39","Prineville","44.28699389","-120.9038328","","","","","","","",""
"BPK","Baxter County Regional","36.36894194","-92.47052806","","","","","","","",""
"85V","Ganado","35.70140278","-109.5103814","","","","","","","",""
"T60","Stonewall County","33.17231861","-100.1976044","","","","","","","",""
"N89","Joseph Y. Resnick","41.72787111","-74.37737583","","","","","","","",""
"MOU","Mountain Village","62.09536222","-163.6820594","","","","","","","",""
"D09","Bottineau Municipal","48.83039167","-100.4171361","","","","","","","",""
"SOV","Seldovia","59.44243917","-151.7040503","","","","","","","",""
"O89","Fall River Mills","41.01877417","-121.4333136","","","","","","","",""
"AFJ","Washington County","40.13648833","-80.29020083","","","","","","","",""
"0R1","Atmore Municipal","31.01621528","-87.44675972","","","","","","","",""
"DKB","Dekalb-Taylor Municipal","41.93188111","-88.70829861","","","","","","","",""
"19N","Camden","39.77842056","-74.94780389","","","","","","","",""
"ACQ","Waseca Municipal","44.07346389","-93.55294361","","","","","","","",""
"IZA","Santa Ynez","34.60682028","-120.0755617","","","","","","","",""
"63A","Lloyd R. Roundtree Seaplane Facility","56.81131972","-132.9600567","","","","","","","",""
"W29","Bay Bridge Industrial","38.97638889","-76.32963889","","","","","","","",""
"SUW","Richard I Bong","46.6897175","-92.094655","","","","","","","",""
"6J2","St George","33.1955","-80.50847222","","","","","","","",""
"P13","San Carlos Apache","33.35314722","-110.6673611","","","","","","","",""
"8S5","East Cooper","32.89783333","-79.78286111","","","","","","","",""
"3I7","Phillipsburg","39.91344194","-84.40030889","","","","","","","",""
"OYM","St Marys Muni","41.41247778","-78.50263139","","","","","","","",""
"HON","Huron Regional","44.38520056","-98.2285425","","","","","","","",""
"KYK","Karluk","57.56706389","-154.4503714","","","","","","","",""
"VEE","Venetie","67.02269444","-146.4137753","","","","","","","",""
"7M4","Osceola Municipal","35.69114639","-90.01012028","","","","","","","",""
"9V9","Chamberlain Municipal","43.76612222","-99.32134","","","","","","","",""
"HIB","Chisholm-Hibbing","47.38659917","-92.83899333","","","","","","","",""
"ADM","Ardmore Municipal","34.30320667","-97.01952167","","","","","","","",""
"HUT","Hutchinson Municipal","38.06548306","-97.86063361","","","","","","","",""
"3F4","Vivian","32.86133333","-94.01015361","","","","","","","",""
"NC14","Rockingham County NC Shiloh","36.43722083","-79.85101","","","","","","","",""
"14Y","Todd Field ","45.89857556","-94.87391","","","","","","","",""
"VCV","Southern California Logistic ","34.593225","-117.3794667","","","","","","","",""
"M91","Springfield-Robertson County","36.53726194","-86.92068917","","","","","","","",""
"1O3","Lodi","38.20241667","-121.2684167","","","","","","","",""
"GAS","Gallia - Meigs Regional","38.83410833","-82.16342306","","","","","","","",""
"SZT","Sandpoint","48.29965139","-116.5597681","","","","","","","",""
"RID","Richmond Municipal","39.75721528","-84.84282","","","","","","","",""
"39N","Princeton","40.39834833","-74.65760361","","","","","","","",""
"FSU","Fort Sumner Municipal","34.48339944","-104.2171967","","","","","","","",""
"RWF","Redwood Falls Muni","44.54720389","-95.082255","","","","","","","",""
"DXE","Dexter Municipal","36.77747","-89.94117333","","","","","","","",""
"10D","Winsted Municipal","44.94996278","-94.0669175","","","","","","","",""
"MHE","Mitchell Municipal","43.77483333","-98.03861111","","","","","","","",""
"M18","Hope Municipal","33.72008889","-93.65884556","","","","","","","",""
"4Z4","Holy Cross","62.18829583","-159.7749503","","","","","","","",""
"UGN","Waukegan Regional","42.42216","-87.86790694","","","","","","","",""
"TVK","Centerville Municipal","40.68390306","-92.90103333","","","","","","","",""
"PGR","Kirk ","36.06352944","-90.50986028","","","","","","","",""
"OVO","North Vernon","39.04563667","-85.60533","","","","","","","",""
"O70","Westover Field Amador County","38.37680111","-120.7939075","","","","","","","",""
